Clase,Dirección
.AR,bestleague.world/jr/55.png
.ES,bestleague.world/jr/34.png
.IT,bestleague.world/jr/37.png
.ALE,bestleague.world/jr/96.png
.ENG,bestleague.world/jr/61.png
.POR,bestleague.world/jr/43.png
.FRA,bestleague.world/jr/45.png
.MEX,bestleague.world/jr/69.png
.COL,bestleague.world/jr/118.png
.CH,bestleague.world/jr/35.png
.URU,bestleague.world/jr/56.png
.BRA,bestleague.world/jr/79.png
.PE,bestleague.world/jr/127.png
.ECUA,bestleague.world/jr/101.png
.PY,bestleague.world/jr/47.png
.BOL,bestleague.world/jr/840.png
.VEN,bestleague.world/jr/591.png
.JP,bestleague.world/jr/52.png
.AUS,bestleague.world/jr/74.png
.USA,bestleague.world/jr/81.png
.SCO,bestleague.world/jr/113.png
.ARA,bestleague.world/jr/104.png
.CR,bestleague.world/jr/98.png
.HON,bestleague.world/jr/91.png
.TUR,bestleague.world/jr/123.png
.HOL,bestleague.world/jr/38.png
.BEL,bestleague.world/jr/116.png
.GT,bestleague.world/jr/593.png
